report_num,significant,long,lat
20140035,0,-97.47972,39.36293
20140036,0,-102.602889,31.948696
20140037,0,-109.393141,41.529826
20140038,1,-117.15622,32.70276
20140039,0,-95.131758,29.750895
20140040,0,-97.757054,37.357891
20140041,0,-96.843305,37.321081
20140042,0,-84.126687,40.697527
20140043,0,-96.01389,35.96984
20140044,0,-91.16217,30.54774
20140045,0,-93.04914,44.77084
20140046,0,-97.669735,38.341141
20140047,0,-97.674046,38.344339
20140048,1,-118.255721,33.800211
20140049,0,-74.25384,40.52243
20140050,0,-94.84779,32.50059
20140051,1,-84.1620056,39.7859444
20140052,0,-95.430748,28.949448
20140053,0,-93.76389,47.32556
20140054,0,-87.466047,41.609732
20140055,1,-97.87105,33.56399
20140056,0,-98.20689,37.35595
20140057,0,-96.5122222,35.8377778
20140058,0,-102.56563622,32.89621
20140059,0,-74.239141,40.609319
20140060,1,-94.10641,32.04704
20140061,0,-108.1301,36.48798
20140062,0,-102.33304,31.81845
20140064,0,-75.530339,40.519254
20140065,0,-98.58121,34.206615
20140066,0,-89.552288,29.374592
20140067,1,-76.461278,37.205338
20140068,0,-90.87143,30.90931
20140070,0,-87.443384,41.626855
20140071,1,-100.94666,32.76118
20140072,1,-87.4512,41.51487
20140073,1,-105.8525,43.114444
20140075,0,-102.79009,32.9942
20140076,0,-87.468926,41.612919
20140077,0,-111.293911,47.524128
20140078,1,-94.7452,38.88144
20140079,1,-93.7767,30.75774
20140080,1,-95.154632,29.819151
20140081,0,-83.49045,43.3117
